Id,Date,Open,High,Low,Close,Volume,Turnover,Indices
258,11-10-2012,2756.35,2795.3,2736.95,2787.6,23237070,6347500000,NIFTY METAL
259,12-10-2012,2787.4,2819.3,2779.1,2787.55,19971283,5646400000,NIFTY METAL
260,15-10-2012,2781.1,2793.8,2768.45,2786.1,16025556,4046000000,NIFTY METAL
261,16-10-2012,2794.35,2799.55,2731.6,2738.7,14439851,3943700000,NIFTY METAL
262,17-10-2012,2757.1,2757.8,2719.75,2726.95,16489123,4654800000,NIFTY METAL
263,18-10-2012,2734.15,2761.9,2718.65,2757.25,18269681,4980000000,NIFTY METAL
264,19-10-2012,2746.1,2755.05,2710.85,2720.8,14960238,4016000000,NIFTY METAL
265,22-10-2012,2705.95,2728.4,2698.75,2723.3,13703865,3792400000,NIFTY METAL
266,23-10-2012,2716.05,2729.35,2696.85,2700.55,11204423,2955600000,NIFTY METAL
267,25-10-2012,2705.85,2715.4,2683.2,2685.65,22618886,5869700000,NIFTY METAL
268,26-10-2012,2672.85,2682.55,2662.35,2678.05,10317526,2560700000,NIFTY METAL
269,29-10-2012,2681.45,2703.85,2667,2676.5,10641376,2983600000,NIFTY METAL
270,30-10-2012,2673.2,2682.7,2631.3,2636.1,11846754,3026000000,NIFTY METAL
271,31-10-2012,2632.65,2670.45,2619.25,2665.75,17621829,4315400000,NIFTY METAL
272,01-11-2012,2664.65,2697.3,2657.25,2690,13452505,3795600000,NIFTY METAL
273,02-11-2012,2700.55,2724.95,2692.85,2707.05,19059067,4614500000,NIFTY METAL
274,05-11-2012,2696.75,2704.05,2675.45,2684.1,13256973,3185600000,NIFTY METAL
275,06-11-2012,2674.8,2688.8,2661.75,2681.55,22761503,5014800000,NIFTY METAL
276,07-11-2012,2672.85,2712.7,2672.85,2690.15,18736956,4787900000,NIFTY METAL
277,08-11-2012,2672.15,2697.65,2663.35,2691.3,17632223,3933900000,NIFTY METAL
278,09-11-2012,2694.8,2710,2644,2653,18617340,5425800000,NIFTY METAL
279,12-11-2012,2645.15,2648.85,2625.9,2633.7,14753840,4211700000,NIFTY METAL
280,13-11-2012,2640.8,2647.9,2637.65,2642.05,3044989,697700000,NIFTY METAL
281,15-11-2012,2630.3,2631.25,2592.45,2601.55,17227521,4478200000,NIFTY METAL
282,16-11-2012,2603.1,2628.1,2582.1,2588.05,27333696,5699100000,NIFTY METAL
283,19-11-2012,2588.55,2600.4,2559.85,2568.8,17735852,4099600000,NIFTY METAL
284,20-11-2012,2583.6,2590.6,2535.75,2549.55,17561072,4078800000,NIFTY METAL
285,21-11-2012,2558.2,2574.55,2540.8,2567.8,13797379,3480500000,NIFTY METAL
286,22-11-2012,2580.55,2594.5,2563,2585.1,13391283,3568700000,NIFTY METAL
287,23-11-2012,2583.9,2589.85,2566.6,2582.7,10841045,2800500000,NIFTY METAL
288,26-11-2012,2585.55,2617.1,2585.55,2600.35,14335987,3136900000,NIFTY METAL
289,27-11-2012,2609.75,2648.7,2608.4,2637.55,22372340,4697600000,NIFTY METAL
290,29-11-2012,2642,2670.4,2639.05,2657.25,24145089,5942600000,NIFTY METAL
291,30-11-2012,2663.9,2715.2,2663.9,2711.3,26128487,6535100000,NIFTY METAL
